n	LeafLength	Marker	FileName
1	55.8991	1	636.JPG
2	149.8290	1	636.JPG
3	272.5266	1	636.JPG
4	113.9814	1	636.JPG
5	216.7355	1	636.JPG
6	92.5016	2	637.JPG
7	252.6009	2	637.JPG
8	307.8861	2	637.JPG
9	207.8852	2	637.JPG
10	34.2739	4	639.JPG
11	116.4960	4	639.JPG
12	254.7988	4	639.JPG
13	312.4564	4	639.JPG
14	254.6899	4	639.JPG
15	94.7588	6	641.JPG
16	264.5233	6	641.JPG
17	464.4813	6	641.JPG
18	469.7392	6	641.JPG
19	351.8096	6	641.JPG
20	0.8037	7	642.JPG
21	1.7609	7	642.JPG
22	2.8817	7	642.JPG
23	3.5270	7	642.JPG
24	3.1617	7	642.JPG
25	1.8754	7	642.JPG
26	60.3272	9	644.JPG
27	166.3850	9	644.JPG
28	236.6205	9	644.JPG
29	275.6018	9	644.JPG
30	218.7975	9	644.JPG
31	69.5595	10	645.JPG
32	134.2474	10	645.JPG
33	222.4973	10	645.JPG
34	287.2051	10	645.JPG
35	211.9002	10	645.JPG
36	79.6356	12	647.JPG
37	246.2505	12	647.JPG
38	364.6493	12	647.JPG
39	269.8200	12	647.JPG
40	59.1813	14	649.JPG
41	95.5524	14	649.JPG
42	237.8583	14	649.JPG
43	308.7411	14	649.JPG
44	182.8198	14	649.JPG
45	84.3692	17	652.JPG
46	122.9480	17	652.JPG
47	254.2522	17	652.JPG
48	304.7545	17	652.JPG
49	220.4725	17	652.JPG
50	69.8099	18	653.JPG
51	168.3473	18	653.JPG
52	251.7327	18	653.JPG
53	208.5922	18	653.JPG
54	86.2629	20	655.JPG
55	209.0494	20	655.JPG
56	280.7010	20	655.JPG
57	168.3997	20	655.JPG
58	140.9139	22	657.JPG
59	260.9480	22	657.JPG
60	345.1789	22	657.JPG
61	230.2329	22	657.JPG
62	55.1226	24	659.JPG
63	171.5040	24	659.JPG
64	296.9163	24	659.JPG
65	233.8228	24	659.JPG
66	70.0938	26	661.JPG
67	211.3315	26	661.JPG
68	337.9213	26	661.JPG
69	287.3031	26	661.JPG
70	70.1672	28	663.JPG
71	191.0377	28	663.JPG
72	305.0670	28	663.JPG
73	244.0712	28	663.JPG
74	99.5431	30	665.JPG
75	247.5517	30	665.JPG
76	364.6149	30	665.JPG
77	254.4612	30	665.JPG
78	55.8778	32	667.JPG
79	189.1720	32	667.JPG
80	321.9061	32	667.JPG
81	223.5831	32	667.JPG
82	128.7208	34	669.JPG
83	262.1491	34	669.JPG
84	352.4656	34	669.JPG
85	257.2210	34	669.JPG
86	59.3667	36	671.JPG
87	154.0940	36	671.JPG
88	285.2382	36	671.JPG
89	73.6661	38	673.JPG
90	247.8562	38	673.JPG
91	429.8173	38	673.JPG
92	391.6172	38	673.JPG
93	207.7877	38	673.JPG
94	48.4315	39	674.JPG
95	160.0811	39	674.JPG
96	264.3120	39	674.JPG
97	281.4677	39	674.JPG
98	150.2718	39	674.JPG
